figure,direction,condition,metric,source_value,canonical_reference,status
fig3,D1_SLEEPEDF_TO_ISRUC,C4,row/source equivalence,"{""AURC_ci95"": ""[-0.03492,-0.02452]"", ""AURC_delta"": ""-0.029699"", ""NLL_ci95"": ""[-0.03940,-0.01576]"", ""NLL_delta"": ""-0.027238"", ""b0_macro_F1"": ""0.506284"", ""b1_macro_F1"": ""0.543011"", ""condition"": ""C4"", ""conformal_abs_gap_delta"": ""0.002345"", ""direction"": ""D1_SLEEPEDF_TO_ISRUC"", ""macro_F1_ci95"": ""[+0.03141,+0.04215]"", ""macro_F1_delta"": ""0.036727"", ""predictive_status"": ""SUPPORTED_IMPROVEMENT"", ""residual_label"": ""MIXED_RELIABILITY_RESPONSE""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig3,D1_SLEEPEDF_TO_ISRUC,C5,row/source equivalence,"{""AURC_ci95"": ""[-0.33636,-0.26910]"", ""AURC_delta"": ""-0.302725"", ""NLL_ci95"": ""[-0.45604,-0.31533]"", ""NLL_delta"": ""-0.386005"", ""b0_macro_F1"": ""0.289236"", ""b1_macro_F1"": ""0.475107"", ""condition"": ""C5"", ""conformal_abs_gap_delta"": ""-0.042303"", ""direction"": ""D1_SLEEPEDF_TO_ISRUC"", ""macro_F1_ci95"": ""[+0.16786,+0.20296]"", ""macro_F1_delta"": ""0.185871"", ""predictive_status"": ""SUPPORTED_IMPROVEMENT"", ""residual_label"": ""RELIABILITY_IMPROVES_WITH_PREDICTION""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig3,D2_ISRUC_TO_SLEEPEDF,C4,row/source equivalence,"{""AURC_ci95"": ""[-0.11263,-0.08381]"", ""AURC_delta"": ""-0.098292"", ""NLL_ci95"": ""[-0.40647,-0.32434]"", ""NLL_delta"": ""-0.365625"", ""b0_macro_F1"": ""0.382241"", ""b1_macro_F1"": ""0.442158"", ""condition"": ""C4"", ""conformal_abs_gap_delta"": ""-0.033275"", ""direction"": ""D2_ISRUC_TO_SLEEPEDF"", ""macro_F1_ci95"": ""[+0.05308,+0.06667]"", ""macro_F1_delta"": ""0.059917"", ""predictive_status"": ""SUPPORTED_IMPROVEMENT"", ""residual_label"": ""RELIABILITY_IMPROVES_WITH_PREDICTION""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig3,D2_ISRUC_TO_SLEEPEDF,C5,row/source equivalence,"{""AURC_ci95"": ""[-0.09175,-0.01032]"", ""AURC_delta"": ""-0.050221"", ""NLL_ci95"": ""[+0.07808,+0.25053]"", ""NLL_delta"": ""0.163002"", ""b0_macro_F1"": ""0.360524"", ""b1_macro_F1"": ""0.361157"", ""condition"": ""C5"", ""conformal_abs_gap_delta"": ""0.006730"", ""direction"": ""D2_ISRUC_TO_SLEEPEDF"", ""macro_F1_ci95"": ""[-0.01255,+0.01451]"", ""macro_F1_delta"": ""0.000633"", ""predictive_status"": ""INCONCLUSIVE_DIRECTION"", ""residual_label"": ""MIXED_RELIABILITY_RESPONSE""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig4,D1_SLEEPEDF_TO_ISRUC,C4,row/source equivalence,"{""AURC_delta"": ""-0.029699"", ""NLL_delta"": ""-0.027238"", ""condition"": ""C4"", ""conformal_abs_gap_delta"": ""0.002345"", ""direction"": ""D1_SLEEPEDF_TO_ISRUC""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig4,D1_SLEEPEDF_TO_ISRUC,C5,row/source equivalence,"{""AURC_delta"": ""-0.302725"", ""NLL_delta"": ""-0.386005"", ""condition"": ""C5"", ""conformal_abs_gap_delta"": ""-0.042303"", ""direction"": ""D1_SLEEPEDF_TO_ISRUC""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig4,D2_ISRUC_TO_SLEEPEDF,C4,row/source equivalence,"{""AURC_delta"": ""-0.098292"", ""NLL_delta"": ""-0.365625"", ""condition"": ""C4"", ""conformal_abs_gap_delta"": ""-0.033275"", ""direction"": ""D2_ISRUC_TO_SLEEPEDF""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig4,D2_ISRUC_TO_SLEEPEDF,C5,row/source equivalence,"{""AURC_delta"": ""-0.050221"", ""NLL_delta"": ""0.163002"", ""condition"": ""C5"", ""conformal_abs_gap_delta"": ""0.006730"", ""direction"": ""D2_ISRUC_TO_SLEEPEDF""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig5,D1_SLEEPEDF_TO_ISRUC,C4,row/source equivalence,"{""AURC_delta"": ""-0.029699"", ""NLL_delta"": ""-0.027238"", ""condition"": ""C4"", ""conformal_abs_gap_delta"": ""0.002345"", ""direction"": ""D1_SLEEPEDF_TO_ISRUC"", ""macro_F1_delta"": ""0.036727""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
fig5,D1_SLEEPEDF_TO_ISRUC,C5,row/source equivalence,"{""AURC_delta"": ""-0.302725"", ""NLL_delta"": ""-0.386005"", ""condition"": ""C5"", ""conformal_abs_gap_delta"": ""-0.042303"", ""direction"": ""D1_SLEEPEDF_TO_ISRUC"", ""macro_F1_delta"": ""0.185871""}",frozen Step 17 source-data row,VERIFIED_SOURCE_ROW
