key,current_title,current_doi,authority,resolved_title,status
supratak2017deepsleepnet,DeepSleepNet: A Model for Automatic Sleep Stage Scoring Based on Raw Single-Channel EEG,10.1109/TNSRE.2017.2721116,Crossref metadata / publisher DOI resolver,DeepSleepNet: A Model for Automatic Sleep Stage Scoring Based on Raw Single-Channel EEG,PASS_DOI_RESOLVES
phan2019seqsleepnet,SeqSleepNet: End-to-End Hierarchical Recurrent Neural Network for Sequence-to-Sequence Automatic Sleep Staging,10.1109/TNSRE.2019.2896659,Crossref metadata / publisher DOI resolver,SeqSleepNet: End-to-End Hierarchical Recurrent Neural Network for Sequence-to-Sequence Automatic Sleep Staging,PASS_DOI_RESOLVES
supratak2020tinysleepnet,TinySleepNet: An Efficient Deep Learning Model for Sleep Stage Scoring Based on Raw Single-Channel EEG,10.1109/EMBC44109.2020.9176741,Crossref metadata / publisher DOI resolver,TinySleepNet: An Efficient Deep Learning Model for Sleep Stage Scoring based on Raw Single-Channel EEG,PASS_DOI_RESOLVES
perslev2021usleep,U-Sleep: Resilient High-Frequency Sleep Staging,10.1038/s41746-021-00440-5,Crossref metadata / publisher DOI resolver,U-Sleep: resilient high-frequency sleep staging,PASS_DOI_RESOLVES
phan2022sleeptransformer,SleepTransformer: Automatic Sleep Staging With Interpretability and Uncertainty Quantification,10.1109/TBME.2022.3147187,Crossref metadata / publisher DOI resolver,SleepTransformer: Automatic Sleep Staging With Interpretability and Uncertainty Quantification,PASS_DOI_RESOLVES
vainikka2026directuq,Direct Quantification of Uncertainty in Deep Learning-Based Automatic Sleep Staging,10.1109/TBME.2025.3623380,Crossref metadata / publisher DOI resolver,Direct Quantification of Uncertainty in Deep Learning-Based Automatic Sleep Staging,PASS_DOI_RESOLVES
zhao2021unsupervisedsleepdomain,Unsupervised Sleep Staging System Based on Domain Adaptation,10.1016/j.bspc.2021.102937,Crossref metadata / publisher DOI resolver,Unsupervised sleep staging system based on domain adaptation,PASS_DOI_RESOLVES
zhou2025sourcefree,Personalized Sleep Staging Leveraging Source-Free Unsupervised Domain Adaptation,10.1609/aaai.v39i13.33592,Crossref metadata / publisher DOI resolver,Personalized Sleep Staging Leveraging Source-free Unsupervised Domain Adaptation,PASS_DOI_RESOLVES
zhu2023multisource,Multi-Source Unsupervised Domain-Adaptation for Automatic Sleep Staging,10.1109/BIBM58861.2023.10385825,Crossref metadata / publisher DOI resolver,Multi-source unsupervised domain-adaptation for automatic sleep staging,PASS_DOI_RESOLVES
zhou2022dgsurvey,Domain Generalization: A Survey,10.1109/TPAMI.2022.3195549,Crossref metadata / publisher DOI resolver,Domain Generalization: A Survey,PASS_DOI_RESOLVES
yang2023sleepclip,Sleep CLIP: A Multimodal Sleep Staging Model Based on Sleep Signals and Sleep Staging Labels,10.3390/s23177341,Crossref metadata / publisher DOI resolver,Sleep CLIP: A Multimodal Sleep Staging Model Based on Sleep Signals and Sleep Staging Labels,PASS_DOI_RESOLVES
geifman2019selectivenet,SelectiveNet: A Deep Neural Network with an Integrated Reject Option,,PMLR/IEEE publisher record required,,NO_DOI_PRESENT_REVIEWED
guo2017calibration,On Calibration of Modern Neural Networks,10.1145/3065386.3065389,Crossref metadata / publisher DOI resolver,,FAIL_INCORRECT_DOI
thagaard2020uncertaintyshift,Can You Trust Predictive Uncertainty Under Real Dataset Shifts in Digital Pathology?,10.1007/978-3-030-59710-8_80,Crossref metadata / publisher DOI resolver,Can You Trust Predictive Uncertainty Under Real Dataset Shifts in Digital Pathology?,PASS_DOI_RESOLVES
prinster2022jaws,JAWS: Auditing Predictive Uncertainty Under Covariate Shift,10.52202/068431-2602,Crossref metadata / publisher DOI resolver,JAWS: Auditing Predictive Uncertainty Under Covariate Shift,PASS_DOI_RESOLVES
dey2023conformalordinal,Conformal Prediction Sets for Ordinal Classification,10.52202/075280-0041,Crossref metadata / publisher DOI resolver,Conformal Prediction Sets for Ordinal Classification,PASS_DOI_RESOLVES
imtiaz2015sleepedf,An open-source toolbox for standardized use of PhysioNet Sleep EDF Expanded Database,10.1109/EMBC.2015.7319762,Crossref metadata / publisher DOI resolver,An open-source toolbox for standardized use of PhysioNet Sleep EDF Expanded Database,PASS_DOI_RESOLVES
khalighi2016isruc,ISRUC-Sleep: A comprehensive public dataset for sleep researchers,10.1016/j.cmpb.2015.10.013,Crossref metadata / publisher DOI resolver,ISRUC-Sleep: A comprehensive public dataset for sleep researchers,PASS_DOI_RESOLVES
angelopoulos2023conformal,Conformal Prediction: A Gentle Introduction,10.1561/2200000101,Crossref metadata / publisher DOI resolver,Conformal Prediction: A Gentle Introduction,PASS_DOI_RESOLVES
ovadia2019shift,NOT IN CURRENT BIBLIOGRAPHY,,NeurIPS proceedings; required addition,Can You Trust Your Model’s Uncertainty? Evaluating Predictive Uncertainty Under Dataset Shift,REQUIRED_FUTURE_ADDITION
tibshirani2019covariate,NOT IN CURRENT BIBLIOGRAPHY,,NeurIPS proceedings; required addition,Conformal Prediction Under Covariate Shift,REQUIRED_FUTURE_ADDITION
romano2020adaptive,NOT IN CURRENT BIBLIOGRAPHY,,NeurIPS proceedings; APS reference,Classification with Valid and Adaptive Coverage,REQUIRED_FUTURE_ADDITION
kemp2000sleepedf,NOT IN CURRENT BIBLIOGRAPHY,,IEEE TBME / PhysioNet primary provenance,Analysis of a sleep-dependent neuronal feedback loop: the slow-wave microcontinuity of the EEG,REQUIRED_FUTURE_ADDITION
physionet2026,NOT IN CURRENT BIBLIOGRAPHY,,Nature Health / official PhysioNet standard citation,PhysioNet as a global platform for biomedical research,REQUIRED_FUTURE_ADDITION
