criterion,experiment_id,condition,metric,value,threshold,pass,reason
A_IMPLEMENTED_STEP12,D1_SLEEPEDF_TO_ISRUC,C4,source_temperature_worsening,False,any source delta > metric tolerance,False,Exact Step 12 runner rule: cal_fail is source-temperature worsening only.
A_WRITTEN_PROSE_RECONSTRUCTION,D1_SLEEPEDF_TO_ISRUC,C4,reliability_failure_beyond_predictive,True,NLL/Brier/ECE/ranking/conformal evidence,True,Independent descriptive evidence; ECE is a point reconstruction because no domain ECE contrast was exported.
A_IMPLEMENTATION_MATCH,D1_SLEEPEDF_TO_ISRUC,C4,implementation_vs_written,False,must match,False,"Mismatch indicates the runner operationalizes only source-temperature worsening, not the written reliability taxonomy."
B_ORACLE_RECOVERABILITY,D1_SLEEPEDF_TO_ISRUC,C4,NLL,-0.025515758310224346,relative reduction >= 0.05 OR CI high < 0,True,relative_reduction=0.023815; ci_high=-0.013904; threshold_pass=False; ci_pass=True
B_ORACLE_RECOVERABILITY,D1_SLEEPEDF_TO_ISRUC,C4,Brier,-0.0077108983494076355,relative reduction >= 0.03 OR CI high < 0,True,relative_reduction=0.013930; ci_high=-0.003937; threshold_pass=False; ci_pass=True
B_ORACLE_RECOVERABILITY,D1_SLEEPEDF_TO_ISRUC,C4,ECE,-0.052197548365757615,absolute reduction >= 0.01 OR CI high < 0,True,absolute_reduction=0.052198; ci_high=-0.031561
B_ORACLE_CONFORMAL,D1_SLEEPEDF_TO_ISRUC,C4,APS_alpha_0.1,0.06335602166967635,absolute error improves and no pathological inflation,True,source_abs=0.068551; oracle_abs=0.005195; size_increase=-1.275330; pathological=False
B_ORACLE_CONFORMAL,D1_SLEEPEDF_TO_ISRUC,C4,APS_alpha_0.05,0.01755799416585646,absolute error improves and no pathological inflation,True,source_abs=0.018551; oracle_abs=0.000993; size_increase=-0.781997; pathological=False
B_COMPOUND_CELL_RECOVERABLE,D1_SLEEPEDF_TO_ISRUC,C4,joint,True,at least one meaningful NLL/Brier/ECE/conformal recovery,True,Independent cell-level summary; Criterion B requires at least two passing compound cells.
C_SOURCE_ONLY_PLAUSIBILITY,D1_SLEEPEDF_TO_ISRUC,C4,design_constraint,True,source-only frozen candidate possible,True,Design feasibility only; no efficacy claim.
D_PREDICTIVE_COMPONENT,D1_SLEEPEDF_TO_ISRUC,C4,macro-F1,-0.15696800313337034,substantial negative predictive transfer,True,macro-F1 delta=-0.156968; calibration cannot change argmax.
D_PREDICTIVE_AND_RANKING_EVIDENCE,D1_SLEEPEDF_TO_ISRUC,C4,NLL,0.8370947569862466,descriptive evidence retained,True,Evidence row; no subjective score or new gate.
D_PREDICTIVE_AND_RANKING_EVIDENCE,D1_SLEEPEDF_TO_ISRUC,C4,Brier,0.413512307278259,descriptive evidence retained,True,Evidence row; no subjective score or new gate.
