file,page,status,inspection
main,1,PASS,"Rendered and visually inspected; no clipping, blank page, overflow, or unreadable content."
main,2,PASS,"Rendered and visually inspected; no clipping, blank page, overflow, or unreadable content."
main,3,PASS,"Rendered and visually inspected; no clipping, blank page, overflow, or unreadable content."
main,4,PASS,"Rendered and visually inspected; no clipping, blank page, overflow, or unreadable content."
main,5,PASS,"Rendered and visually inspected; no clipping, blank page, overflow, or unreadable content."
main,6,PASS,"Rendered and visually inspected; no clipping, blank page, overflow, or unreadable content."
main,7,PASS,"Rendered and visually inspected; no clipping, blank page, overflow, or unreadable content."
main,8,PASS,"Rendered and visually inspected; no clipping, blank page, overflow, or unreadable content."
main,9,PASS,"Rendered and visually inspected; no clipping, blank page, overflow, or unreadable content."
main,10,PASS,"Rendered and visually inspected; no clipping, blank page, overflow, or unreadable content."
supplement,1,PASS,"Rendered and visually inspected; no clipping, blank page, overflow, or unreadable content."
supplement,2,PASS,"Rendered and visually inspected; no clipping, blank page, overflow, or unreadable content."
