dataset,substudy,recording_id,subject_id,signal_label,modality_family,reference,sampling_hz,physical_dimension,signal_representation,schema_source,verified,notes
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4001E0-PSG.edf,NOT_VERIFIED,EEG Fpz-Cz,EEG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4001E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4001E0-PSG.edf,NOT_VERIFIED,EEG Pz-Oz,EEG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4001E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4001E0-PSG.edf,NOT_VERIFIED,EOG horizontal,EOG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4001E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4001E0-PSG.edf,NOT_VERIFIED,Resp oro-nasal,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4001E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4001E0-PSG.edf,NOT_VERIFIED,EMG submental,EMG,encoded in label; anatomical/reference interpretation requires contract review,1,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4001E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4001E0-PSG.edf,NOT_VERIFIED,Temp rectal,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,DegC,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4001E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4001E0-PSG.edf,NOT_VERIFIED,Event marker,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4001E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4002E0-PSG.edf,NOT_VERIFIED,EEG Fpz-Cz,EEG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4002E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4002E0-PSG.edf,NOT_VERIFIED,EEG Pz-Oz,EEG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4002E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4002E0-PSG.edf,NOT_VERIFIED,EOG horizontal,EOG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4002E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4002E0-PSG.edf,NOT_VERIFIED,Resp oro-nasal,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4002E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4002E0-PSG.edf,NOT_VERIFIED,EMG submental,EMG,encoded in label; anatomical/reference interpretation requires contract review,1,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4002E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4002E0-PSG.edf,NOT_VERIFIED,Temp rectal,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,DegC,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4002E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4002E0-PSG.edf,NOT_VERIFIED,Event marker,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4002E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4011E0-PSG.edf,NOT_VERIFIED,EEG Fpz-Cz,EEG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4011E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4011E0-PSG.edf,NOT_VERIFIED,EEG Pz-Oz,EEG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4011E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4011E0-PSG.edf,NOT_VERIFIED,EOG horizontal,EOG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4011E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4011E0-PSG.edf,NOT_VERIFIED,Resp oro-nasal,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4011E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4011E0-PSG.edf,NOT_VERIFIED,EMG submental,EMG,encoded in label; anatomical/reference interpretation requires contract review,1,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4011E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4011E0-PSG.edf,NOT_VERIFIED,Temp rectal,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,DegC,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4011E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4011E0-PSG.edf,NOT_VERIFIED,Event marker,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4011E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4012E0-PSG.edf,NOT_VERIFIED,EEG Fpz-Cz,EEG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4012E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4012E0-PSG.edf,NOT_VERIFIED,EEG Pz-Oz,EEG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4012E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4012E0-PSG.edf,NOT_VERIFIED,EOG horizontal,EOG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4012E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4012E0-PSG.edf,NOT_VERIFIED,Resp oro-nasal,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4012E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4012E0-PSG.edf,NOT_VERIFIED,EMG submental,EMG,encoded in label; anatomical/reference interpretation requires contract review,1,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4012E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4012E0-PSG.edf,NOT_VERIFIED,Temp rectal,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4012E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4012E0-PSG.edf,NOT_VERIFIED,Event marker,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4012E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4021E0-PSG.edf,NOT_VERIFIED,EEG Fpz-Cz,EEG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4021E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4021E0-PSG.edf,NOT_VERIFIED,EEG Pz-Oz,EEG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4021E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4021E0-PSG.edf,NOT_VERIFIED,EOG horizontal,EOG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4021E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4021E0-PSG.edf,NOT_VERIFIED,Resp oro-nasal,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4021E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4021E0-PSG.edf,NOT_VERIFIED,EMG submental,EMG,encoded in label; anatomical/reference interpretation requires contract review,1,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4021E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4021E0-PSG.edf,NOT_VERIFIED,Temp rectal,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,DegC,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4021E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4021E0-PSG.edf,NOT_VERIFIED,Event marker,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4021E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4022E0-PSG.edf,NOT_VERIFIED,EEG Fpz-Cz,EEG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4022E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4022E0-PSG.edf,NOT_VERIFIED,EEG Pz-Oz,EEG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4022E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4022E0-PSG.edf,NOT_VERIFIED,EOG horizontal,EOG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4022E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4022E0-PSG.edf,NOT_VERIFIED,Resp oro-nasal,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4022E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4022E0-PSG.edf,NOT_VERIFIED,EMG submental,EMG,encoded in label; anatomical/reference interpretation requires contract review,1,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4022E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4022E0-PSG.edf,NOT_VERIFIED,Temp rectal,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,DegC,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4022E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4022E0-PSG.edf,NOT_VERIFIED,Event marker,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4022E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4031E0-PSG.edf,NOT_VERIFIED,EEG Fpz-Cz,EEG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4031E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4031E0-PSG.edf,NOT_VERIFIED,EEG Pz-Oz,EEG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4031E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4031E0-PSG.edf,NOT_VERIFIED,EOG horizontal,EOG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4031E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4031E0-PSG.edf,NOT_VERIFIED,Resp oro-nasal,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4031E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4031E0-PSG.edf,NOT_VERIFIED,EMG submental,EMG,encoded in label; anatomical/reference interpretation requires contract review,1,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4031E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4031E0-PSG.edf,NOT_VERIFIED,Temp rectal,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,DegC,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4031E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4031E0-PSG.edf,NOT_VERIFIED,Event marker,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4031E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4032E0-PSG.edf,NOT_VERIFIED,EEG Fpz-Cz,EEG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4032E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4032E0-PSG.edf,NOT_VERIFIED,EEG Pz-Oz,EEG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4032E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4032E0-PSG.edf,NOT_VERIFIED,EOG horizontal,EOG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4032E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4032E0-PSG.edf,NOT_VERIFIED,Resp oro-nasal,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4032E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4032E0-PSG.edf,NOT_VERIFIED,EMG submental,EMG,encoded in label; anatomical/reference interpretation requires contract review,1,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4032E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4032E0-PSG.edf,NOT_VERIFIED,Temp rectal,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,DegC,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4032E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4032E0-PSG.edf,NOT_VERIFIED,Event marker,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4032E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4041E0-PSG.edf,NOT_VERIFIED,EEG Fpz-Cz,EEG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4041E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4041E0-PSG.edf,NOT_VERIFIED,EEG Pz-Oz,EEG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4041E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4041E0-PSG.edf,NOT_VERIFIED,EOG horizontal,EOG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4041E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4041E0-PSG.edf,NOT_VERIFIED,Resp oro-nasal,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4041E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4041E0-PSG.edf,NOT_VERIFIED,EMG submental,EMG,encoded in label; anatomical/reference interpretation requires contract review,1,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4041E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4041E0-PSG.edf,NOT_VERIFIED,Temp rectal,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,DegC,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4041E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4041E0-PSG.edf,NOT_VERIFIED,Event marker,OTHER,encoded in label; anatomical/reference interpretation requires contract review,1,,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4041E0-PSG.edf,TRUE,Header-only; no signal samples read.
Sleep-EDF Expanded v1.0.0,NOT_VERIFIED,SC4042E0-PSG.edf,NOT_VERIFIED,EEG Fpz-Cz,EEG,encoded in label; anatomical/reference interpretation requires contract review,100,uV,SC EMG envelope documented; CAP representation NOT_VERIFIED per channel,https://physionet.org/files/sleep-edfx/1.0.0/sleep-cassette/SC4042E0-PSG.edf,TRUE,Header-only; no signal samples read.
