citation_key,title,authors,venue,year,DOI,peer_reviewed,verified_source,manuscript_claim_supported,status
supratak2017deepsleepnet,"DeepSleepNet: A Model for Automatic Sleep Stage Scoring Based on Raw Single-Channel EEG","Supratak; Dong; Wu; Guo",IEEE TNSRE,2017,10.1109/TNSRE.2017.2721116,yes,Crossref DOI metadata,Representative raw-EEG deep sleep-staging baseline,VERIFIED
phan2019seqsleepnet,"SeqSleepNet: End-to-End Hierarchical Recurrent Neural Network for Sequence-to-Sequence Automatic Sleep Staging","Phan; Andreotti; Cooray; Chen; De Vos",IEEE TNSRE,2019,10.1109/TNSRE.2019.2896659,yes,Crossref DOI metadata,Temporal sequence modeling in sleep staging,VERIFIED
supratak2020tinysleepnet,"TinySleepNet: An Efficient Deep Learning Model for Sleep Stage Scoring Based on Raw Single-Channel EEG","Supratak; Guo",EMBC,2020,10.1109/EMBC44109.2020.9176741,yes,Crossref DOI metadata,Efficient sleep-staging baseline,VERIFIED
perslev2021usleep,"U-Sleep: Resilient High-Frequency Sleep Staging","Perslev; Darkner; Kempfner; Nikolic; Jennum; Igel",npj Digital Medicine,2021,10.1038/s41746-021-00440-5,yes,Crossref DOI metadata,Robust modern sleep staging,VERIFIED
phan2022sleeptransformer,"SleepTransformer: Automatic Sleep Staging With Interpretability and Uncertainty Quantification","Phan; Mikkelsen; Chen; Koch; Mertins; De Vos",IEEE TBME,2022,10.1109/TBME.2022.3147187,yes,Crossref DOI metadata,Uncertainty-aware sleep staging,VERIFIED
vainikka2026directuq,"Direct Quantification of Uncertainty in Deep Learning-Based Automatic Sleep Staging","Vainikka; Huttunen; Kainulainen; Korkalainen; Rusanen",IEEE TBME,2026,10.1109/TBME.2025.3623380,yes,Crossref DOI metadata,Direct sleep-staging uncertainty quantification,VERIFIED
zhao2021unsupervisedsleepdomain,"Unsupervised Sleep Staging System Based on Domain Adaptation","Zhao; Xia; Zhang",Biomedical Signal Processing and Control,2021,10.1016/j.bspc.2021.102937,yes,Crossref DOI metadata,Sleep-staging domain adaptation,VERIFIED
zhou2025sourcefree,"Personalized Sleep Staging Leveraging Source-Free Unsupervised Domain Adaptation","Zhou; Zhao; Wang; Jiang; Li; Luo; Li; Pan",AAAI,2025,10.1609/aaai.v39i13.33592,yes,Crossref DOI metadata,Source-free transfer context,VERIFIED
zhu2023multisource,"Multi-Source Unsupervised Domain-Adaptation for Automatic Sleep Staging","Zhu; Tu; Zhang; Xu",IEEE BIBM,2023,10.1109/BIBM58861.2023.10385825,yes,Crossref DOI metadata,Multi-source transfer context,VERIFIED
zhou2022dgsurvey,"Domain Generalization: A Survey","Zhou; Liu; Qiao; Xiang; Loy",IEEE TPAMI,2022,10.1109/TPAMI.2022.3195549,yes,Crossref DOI metadata,Domain-generalization framing,VERIFIED
yang2023sleepclip,"Sleep CLIP: A Multimodal Sleep Staging Model Based on Sleep Signals and Sleep Staging Labels","Yang; Wang; Hu; Yuan",Sensors,2023,10.3390/s23177341,yes,Crossref DOI metadata,Multimodal sleep-staging context,VERIFIED
geifman2019selectivenet,"SelectiveNet: A Deep Neural Network with an Integrated Reject Option","Geifman; El-Yaniv",CVPR,2019,DOI_NOT_AVAILABLE,yes,Official CVPR proceedings metadata,Selective rejection and coverage-risk tradeoff,VERIFIED
guo2017calibration,"On Calibration of Modern Neural Networks","Guo; Pleiss; Sun; Weinberger",ICML,2017,10.1145/3065386.3065389,yes,Crossref/ACM metadata,Calibration distinct from accuracy,VERIFIED
thagaard2020uncertaintyshift,"Can You Trust Predictive Uncertainty Under Real Dataset Shifts in Digital Pathology?","Thagaard; Hauberg; van der Vegt; Ebstrup; Hansen; Dahl",MICCAI,2020,10.1007/978-3-030-59710-8_80,yes,Springer/Crossref metadata,Uncertainty under real dataset shift,VERIFIED
prinster2022jaws,"JAWS: Auditing Predictive Uncertainty Under Covariate Shift","Prinster; Liu; Saria",NeurIPS,2022,10.52202/068431-2602,yes,Crossref/NeurIPS metadata,Uncertainty audit under covariate shift,VERIFIED
dey2023conformalordinal,"Conformal Prediction Sets for Ordinal Classification","Dey; Merugu; Kaveri",NeurIPS,2023,10.52202/075280-0041,yes,Crossref/NeurIPS metadata,Classification prediction-set context,VERIFIED
angelopoulos2023conformal,"Conformal Prediction: A Gentle Introduction","Angelopoulos; Bates",Foundations and Trends in Machine Learning,2023,10.1561/2200000101,yes,Crossref DOI metadata,Conformal assumptions and coverage interpretation,VERIFIED
