category,references_used,coverage_status,manuscript_subsection
automatic sleep staging,supratak2017deepsleepnet;phan2019seqsleepnet;supratak2020tinysleepnet;perslev2021usleep;phan2022sleeptransformer,ADEQUATELY_COVERED,Automatic Sleep Staging
temporal sleep staging,phan2019seqsleepnet,ADEQUATELY_COVERED,Automatic Sleep Staging
cross-dataset generalization,zhao2021unsupervisedsleepdomain;zhou2025sourcefree;zhu2023multisource,ADEQUATELY_COVERED,Cross-Dataset Generalization
domain generalization,zhou2022dgsurvey,ADEQUATELY_COVERED,Cross-Dataset Generalization
missing modalities,yang2023sleepclip;repository B1 evidence,ADEQUATELY_COVERED,Missing-Modality Robustness
multimodal robustness,yang2023sleepclip;repository B1 evidence,ADEQUATELY_COVERED,Missing-Modality Robustness
sleep uncertainty,phan2022sleeptransformer;vainikka2026directuq,ADEQUATELY_COVERED,Uncertainty Calibration and Selective Prediction
calibration,guo2017calibration,ADEQUATELY_COVERED,Uncertainty Calibration and Selective Prediction
selective prediction,geifman2019selectivenet,ADEQUATELY_COVERED,Uncertainty Calibration and Selective Prediction
distribution-shift uncertainty,thagaard2020uncertaintyshift;prinster2022jaws,ADEQUATELY_COVERED,Uncertainty Calibration and Selective Prediction
conformal prediction,angelopoulos2023conformal;dey2023conformalordinal,ADEQUATELY_COVERED,Conformal Prediction Under Shift
conformal under shift,angelopoulos2023conformal;repository Step 17 non-claims,ADEQUATELY_COVERED,Conformal Prediction Under Shift
