subject_id,primary_root_cause,evidence
I011,ALTERNATE_SOURCE_LABEL,"Independent raw EDF label fields, pyedflib labels, and project labels agree; alternate reference labels are explicit."
I013,ALTERNATE_SOURCE_LABEL,"Independent raw EDF label fields, pyedflib labels, and project labels agree; alternate reference labels are explicit."
I014,ALTERNATE_SOURCE_LABEL,"Independent raw EDF label fields, pyedflib labels, and project labels agree; alternate reference labels are explicit."
I017,ALTERNATE_SOURCE_LABEL,"Independent raw EDF label fields, pyedflib labels, and project labels agree; alternate reference labels are explicit."
I019,ALTERNATE_SOURCE_LABEL,"Independent raw EDF label fields, pyedflib labels, and project labels agree; alternate reference labels are explicit."
I020,ALTERNATE_SOURCE_LABEL,"Independent raw EDF label fields, pyedflib labels, and project labels agree; alternate reference labels are explicit."
I021,ALTERNATE_SOURCE_LABEL,"Independent raw EDF label fields, pyedflib labels, and project labels agree; alternate reference labels are explicit."
I023,ALTERNATE_SOURCE_LABEL,"Independent raw EDF label fields, pyedflib labels, and project labels agree; alternate reference labels are explicit."
I025,ALTERNATE_SOURCE_LABEL,"Independent raw EDF label fields, pyedflib labels, and project labels agree; alternate reference labels are explicit."
I027,ALTERNATE_SOURCE_LABEL,"Independent raw EDF label fields, pyedflib labels, and project labels agree; alternate reference labels are explicit."
I028,ALTERNATE_SOURCE_LABEL,"Independent raw EDF label fields, pyedflib labels, and project labels agree; alternate reference labels are explicit."
I029,ALTERNATE_SOURCE_LABEL,"Independent raw EDF label fields, pyedflib labels, and project labels agree; alternate reference labels are explicit."
I030,ALTERNATE_SOURCE_LABEL,"Independent raw EDF label fields, pyedflib labels, and project labels agree; alternate reference labels are explicit."
I031,ALTERNATE_SOURCE_LABEL,"Independent raw EDF label fields, pyedflib labels, and project labels agree; alternate reference labels are explicit."
I032,ALTERNATE_SOURCE_LABEL,"Independent raw EDF label fields, pyedflib labels, and project labels agree; alternate reference labels are explicit."
I033,ALTERNATE_SOURCE_LABEL,"Independent raw EDF label fields, pyedflib labels, and project labels agree; alternate reference labels are explicit."
I034,ALTERNATE_SOURCE_LABEL,"Independent raw EDF label fields, pyedflib labels, and project labels agree; alternate reference labels are explicit."
I035,ALTERNATE_SOURCE_LABEL,"Independent raw EDF label fields, pyedflib labels, and project labels agree; alternate reference labels are explicit."
